id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
0e374003-571c-41bd-a6b2-15316ba57e51,vertical.garden,resell,,,high,low,8,"Name.com, Inc.",04/11/2020 09:34,04/11/2026 09:34
b65fc43d-fcad-4cfd-a678-9c344898a7ec,cereal.eco,premium,4375,113.99,low,low,6,name.com,,
633ea3fb-1e2a-4e18-9125-2d9238fa1b93,farmers.green,premium,625,,medium,medium,7,name.com,,
0ef7329d-fd44-45da-bac1-65cd920c5285,technology.ryukyu,available,22.98,,high,low,10,namecheap,,
0804dc59-a4e5-4fed-bd01-cc77cc21f97c,greenhouse.farm,resell,,,medium,low,10,"GoDaddy.com, LLC",22/02/2021 19:45,22/02/2027 19:45
9ad766c5-17a3-4c23-ae35-6502872352a9,food.place,resell,,,high,medium,4,Porkbun LLC,01/06/2020 18:07,01/06/2026 18:07
53413423-6487-44e7-80ee-38584adc8252,soil.solutions,resell,,,medium,low,4,Porkbun LLC,12/06/2016 12:02,12/06/2026 12:02
3dfb593f-90a8-461d-83e0-1aff914f6f11,food.media,resell,,,high,medium,4,Porkbun LLC,01/09/2016 13:25,01/09/2026 13:25
003dd0bd-c808-4eeb-bbbb-c44931ad6716,plants.xyz,resell,,,high,low,6,Dynadot LLC,18/08/2017 14:18,18/08/2028 23:59
27e8c615-fe97-4318-b1bf-804ec0341531,pestcontrol.technology,available,17.99,,high,low,12,name.com,,
7d98f254-e783-41b7-9cfc-1559defed02c,farming.farm,premium,118.8,118.8,medium,low,7,namesilo,,
6c6e6968-83f3-406b-8eb1-714d1e15e8b1,greenhouse.garden,premium,250,46.99,medium,low,10,name.com,,
6e4352db-afac-4150-b997-2b53a385927b,wine.earth,premium,1183.32,,high,low,4,1API GmbH,05/12/2020 08:38,05/12/2026 08:38
82554a77-5429-4026-a144-e8f778d0800a,plants.mx,premium,39.99,43.99,high,low,6,namesilo,,
6309a6a9-94f4-4d3b-9a1e-b5d302042045,pestcontrol.farm,available,13.99,,high,low,12,name.com,,
d6c02040-06c0-4681-8c88-407033d3e03b,farmers.living,premium,490,700,medium,medium,7,namecheap,,
d412aead-997f-4874-bc41-3bc8fb7ac833,farms.pet,available,19.99,,medium,low,5,name.com,,
b1c060fd-aa04-4301-9cb9-fceb80cb5a26,plants.gg,available,82.98,,high,low,6,namecheap,,
68f5b237-319f-4956-b627-6de2467e665e,farms.services,available,15.99,,medium,low,5,name.com,,
fcd26f45-2579-4eb3-bccc-99078a542bb1,farms.company,premium,15.34,15.34,medium,low,5,namesilo,,
4bed2d99-788c-41de-9a9b-542fd07994cc,management.company,resell,,,medium,low,10,Dynadot Inc,26/09/2017 19:30,26/09/2026 19:30
03ba43c1-4375-48fd-ba27-3d9c9c6dc645,pestcontrol.studio,available,21.99,,high,low,12,name.com,,
c8d5184e-c701-4508-925c-bb6c1cb758e1,farms.work,resell,,,medium,low,5,"DNSPod, Inc.",07/03/2020 13:54,07/03/2027 13:54
16453d90-3c4d-4a49-b5df-ff08b07d6756,pestcontrol.earth,available,6.75,18.99,high,low,12,namesilo,,
53030d31-cf51-4a76-840d-b03f4c4e1792,breeding.io,resell,,,medium,low,8,"NameCheap, Inc.",18/11/2025 15:15,18/11/2026 15:15
53027410-80d7-4ac8-baf8-2e1689b02627,produces.garden,available,43.98,,medium,low,8,namecheap,,
ff4aa52d-315c-4790-9d55-dbb4b920c763,farms.care,available,29.99,,medium,low,5,name.com,,
655ec99b-b792-4588-90ff-05998b8e09c9,farmers.llc,premium,625,,medium,medium,7,name.com,,
0476b746-61b5-44a2-9849-ab49be3f5700,farming.business,premium,118.8,118.8,medium,low,7,namesilo,,
3cd5efb1-bef8-4be2-ab96-4882eacb77e6,farms.homes,resell,,,medium,low,5,"Porkbun, LLC",25/09/2024 08:26,25/09/2026 23:59
4843e317-d0cb-4cd6-927e-d0263cb2455d,garden.mobile,premium,1250,,high,low,6,name.com,,
d2f1e57d-22f9-455b-aa6a-8bad0fef902f,farmers.diy,premium,437.5,,medium,medium,7,name.com,,
47d47ed0-d61f-4815-9884-126e68cedbdf,farms.hosting,available,309.99,329.99,medium,low,5,namesilo,,
8f555589-a6b8-4b35-90b2-a50b1d53de68,farmers.study,premium,62.5,,medium,medium,7,name.com,,
b10ba1a7-5215-4b7d-afa7-36f635a65b9d,farmers.online,premium,156.25,,medium,medium,7,name.com,,
928ad5fb-2abd-45f1-b2ad-445cb9b0ccb7,pestcontrol.parts,available,15.99,,high,low,12,name.com,,
6b3e2f6d-1d3c-4851-8831-2caeaa7488cd,pestcontrol.limited,available,14.99,,high,low,12,name.com,,
c93c2fb5-4379-48b7-9ec5-6bee42140f4d,farms.pink,premium,625,,medium,low,5,name.com,,
917f44f0-6fd2-49ea-8188-f46c761a0601,plants.cheap,available,9.99,,high,low,6,name.com,,
4d09d8eb-178c-4b22-a07a-39bbd9b5896a,farms.science,premium,1107,116,medium,low,5,namesilo,,
66fc00a6-f86c-40fb-98fb-dc9440e77fd6,cultivated.organic,available,19.99,73.99,low,low,10,name.com,,
76135b91-3be5-4b62-9d6b-6c6456fb60de,farms.food,premium,98,140,medium,low,5,namecheap,,
589f72e0-90e7-4b5e-b436-413df33d5914,cultivated.garden,available,1.98,43.98,medium,low,10,namecheap,,
8cd50fb0-a641-4841-aad3-919e4dee0329,farmers.id,available,25.98,,medium,medium,7,namecheap,,
68f52a8a-519e-4727-8e9e-9f548e915190,farmers.biz,resell,,,medium,medium,7,"Moniker Online Services, LLC",27/03/2002 05:53,26/03/2027 23:59
c7004ca7-bc94-444b-b4bd-37051db80b45,growth.ryukyu,available,22.98,,high,low,6,namecheap,,
6aa9dc62-84cd-40fc-8bc3-b18b005518bc,produces.eco,available,64.99,,medium,low,8,name.com,,
a1fff6ec-399f-4f80-b142-e840dac620b6,farms.monster,available,1.99,15.75,medium,low,5,namesilo,,
80d17e62-1454-4647-937a-a0d79d0cd5e3,pestcontrol.music,available,52.48,,high,low,12,namecheap,,
26669033-09c0-4d14-a0b4-04706711eb00,cultivated.io,resell,,,medium,low,10,"GoDaddy.com, LLC",24/04/2019 19:49,24/04/2027 19:49
c085a289-55a5-4db1-baaf-49eab1707883,cereal.ing,premium,187.5,187.5,low,low,6,name.com,,
f7dc4416-eeb9-4f35-b839-ab8e866f6875,cereal.lifestyle,available,1.8,48.98,medium,low,6,namecheap,,
f3aae7f4-8e9e-4b86-b546-edbe7558990b,farmers.report,resell,,,medium,medium,7,"Network Solutions, LLC",05/04/2016 15:35,05/04/2027 15:35
02fe3e18-4581-41a4-8b79-7f117fa0b57b,farms.rodeo,available,12.99,12.99,medium,low,5,namesilo,,
1f3787fb-6c49-4c43-bacf-376777172c3b,farms.cfd,premium,165.12,330.24,medium,low,5,namesilo,,
